LEAD_ID,DATE,TEN_SP,SO_HOP_DONG,COMMISION
14161700,2023-06-13,CS RL LG TS 37,1000323060016782,1055000
14160404,2023-06-13,CS RL LG TS 37,1000323060016693,1055000
14159303,2023-06-12,CS RL LG TS 37,1000323060016189,527500
14158229,2023-06-12,CS RL LG TS 37,1000323060015573,791250
14142653,2023-06-07,CS RL LG TS 37,1000323060009301,791250
14141483,2023-06-07,CS RL LG TS 37,1000323060008836,1055000
14142166,2023-06-07,CS RL LG TS 37,1000323060008721,1055000
14140589,2023-06-06,CS RL LG TS 37,1000323060008534,1055000
14135494,2023-06-05,CS RL LG TS 37,1000323060008496,1055000
14201655,2023-06-26,CS RL LG TS 37,1000323060044344,1055000
14205590,2023-06-27,CS RL LG TS 37,1000323060043909,1055000
14205603,2023-06-27,CS RL LG TS 37,1000323060043038,1055000
14206043,2023-06-27,CS RL LG TS 37,1000323060042929,1055000
14206158,2023-06-28,CS RL LG TS 37,1000323060042881,1055000
14206552,2023-06-28,CS RL LG TS 37,1000323060042732,527500
14152070,2023-06-10,CS RL LG TS 37,1000323060042376,1055000
14205393,2023-06-27,CS RL LG TS 37,1000323060041779,791250
14191767,2023-06-22,CS RL LG TS 37,1000323060039821,791250
14209578,2023-06-29,CS RL LG TS 37,1000323060046070,1055000
14209083,2023-06-28,CS RL LG TS 37,1000323060045430,791250
14210185,2023-06-29,CS RL LG TS 37,1000323060045138,791250
14209256,2023-06-28,CS RL LG TS 37,1000323060044875,1055000
14209632,2023-06-29,CS RL LG TS 37,1000323060044859,527500
14199603,2023-06-25,CS RL LG TS 37,1000323060044778,791250
14207963,2023-06-28,CS RL LG TS 37,1000323060044590,527500
14208827,2023-06-28,CS RL LG TS 37,1000323060044395,1055000
14203369,2023-06-27,CS RL LG TS 37,1000323060043488,1055000
14214730,2023-06-30,CS RL LG TS 37,1000323060047769,1055000
14196465,2023-06-24,CS RL LG TS 37,1000323060047084,1055000
14213295,2023-06-30,CS RL LG TS 37,1000323060046991,1055000
14212088,2023-06-29,CS RL LG TS 37,1000323060046690,1055000
14190004,2023-06-22,CS RL LG TS 37,1000323060046444,1055000
14206353,2023-06-28,CS RL LG TS 37,1000323060046401,1055000
14211133,2023-06-29,CS RL LG TS 37,1000323060046380,1055000
14197659,2023-06-24,CS RL LG TS 37,1000323060044441,1055000
14151269,2023-06-10,CS RL LG TS 37,1000323060013805,1055000
14150055,2023-06-09,CS RL LG TS 37,1000323060013635,1055000
14150960,2023-06-10,CS RL LG TS 37,1000323060013597,1055000
14149696,2023-06-09,CS RL LG TS 37,1000323060013309,791250
14136561,2023-06-05,CS RL LG TS 37,1000323060013104,1055000
14149036,2023-06-09,CS RL LG TS 37,1000323060013091,1055000
14144790,2023-06-08,CS RL LG TS 37,1000323060012957,791250
14158635,2023-06-12,CS RL LG TS 37,1000323060016031,1055000
14152721,2023-06-10,CS RL LG TS 37,1000323060015956,1055000
14153202,2023-06-11,CS RL LG TS 37,1000323060015930,1055000
14152422,2023-06-10,CS RL LG TS 37,1000323060015824,1055000
14157753,2023-06-12,CS RL LG TS 37,1000323060015468,1055000
14152534,2023-06-10,CS RL LG TS 37,1000323060015271,1055000
14157120,2023-06-12,CS RL LG TS 37,1000323060014941,1055000
14154896,2023-06-11,CS RL LG TS 37,1000323060014828,1055000
14154641,2023-06-11,CS RL LG TS 37,1000323060014526,1055000
14156514,2023-06-12,CS RL LG TS 37,1000323060014372,1055000
14139607,2023-06-06,CS RL LG TS 37,1000323060012779,791250
14149021,2023-06-09,CS RL LG TS 37,1000323060012701,1055000
14141564,2023-06-07,CS RL LG TS 37,1000323060010253,791250
14135297,2023-06-05,CS RL LG TS 37,1000323060009956,1055000
14143976,2023-06-07,CS RL LG TS 37,1000323060009697,1055000
14125102,2023-06-01,CS RL LG TS 37,1000323060001181,1055000
14124465,2023-06-01,CS RL LG TS 37,1000323060001106,1055000
14123138,2023-06-01,CS RL LG TS 37,1000323060000185,1055000
14141038,2023-06-06,CS RL LG TS 37,1000323060011829,1055000
14147700,2023-06-09,CS RL LG TS 37,1000323060011772,1055000
14137661,2023-06-05,CS RL LG TS 37,1000323060011331,1055000
14146752,2023-06-08,CS RL LG TS 37,1000323060011268,1002250
14133312,2023-06-04,CS RL LG TS 37,1000323060004555,1055000
14129972,2023-06-03,CS RL LG TS 37,1000323060004202,527500
14127100,2023-06-02,CS RL LG TS 37,1000323060003991,1055000
14127530,2023-06-02,CS RL LG TS 37,1000323060003672,1055000
14128206,2023-06-02,CS RL LG TS 37,1000323060002960,791250
14125098,2023-06-01,CS RL LG TS 37,1000323060001785,1055000
14126035,2023-06-02,CS RL LG TS 37,1000323060001688,1055000
14184124,2023-06-20,CS RL LG TS 37,1000323060029523,1055000
14166768,2023-06-14,CS RL LG TS 37,1000323060029230,1055000
14204338,2023-06-27,CS RL LG TS 37,1000323060041949,1002250
14203292,2023-06-27,CS RL LG TS 37,1000323060041710,1055000
14203144,2023-06-27,CS RL LG TS 37,1000323060041566,1055000
14189605,2023-06-22,CS RL LG TS 37,1000323060041272,791250
14203433,2023-06-27,CS RL LG TS 37,1000323060040675,1055000
14201872,2023-06-26,CS RL LG TS 37,1000323060040535,1055000
14197780,2023-06-25,CS RL LG TS 37,1000323060040322,1055000
14202490,2023-06-26,CS RL LG TS 37,1000323060040110,1055000
14187645,2023-06-21,CS RL LG TS 37,1000323060032176,1055000
14185849,2023-06-21,CS RL LG TS 37,1000323060031501,1055000
14176736,2023-06-18,CS RL LG TS 37,1000323060031412,1055000
14164096,2023-06-14,CS RL LG TS 37,1000323060031021,1055000
14182549,2023-06-20,CS RL LG TS 37,1000323060030891,1055000
14185764,2023-06-21,CS RL LG TS 37,1000323060030840,1055000
14185713,2023-06-21,CS RL LG TS 37,1000323060030513,1055000
14182199,2023-06-20,CS RL LG TS 37,1000323060030084,1055000
14174538,2023-06-17,CS RL LG TS 37,1000323060029981,1055000
14180802,2023-06-19,CS RL LG TS 37,1000323060029841,1055000
14184585,2023-06-20,CS RL LG TS 37,1000323060029809,1055000
14183124,2023-06-20,CS RL LG TS 37,1000323060029272,1055000
14135105,2023-06-05,CS RL LG TS 37,1000323060029108,1055000
14180868,2023-06-19,CS RL LG TS 37,1000323060028870,1055000
14178239,2023-06-18,CS RL LG TS 37,1000323060028381,527500
14119536,2023-05-30,CS RL LG TS 37,1000323060001866,1055000
14118481,2023-05-30,CS RL LG TS 37,1000323060001149,1055000
14122209,2023-05-31,CS RL LG TS 37,1000323060000495,1055000
14122464,2023-05-31,CS RL LG TS 37,1000323060000134,1055000
14121166,2023-05-31,CS RL LG TS 37,1000323050071608,1055000
14119065,2023-05-30,CS RL LG TS 37,1000323060010512,1055000
14116492,2023-05-29,CS RL LG TS 37,1000323060001441,1055000
14098860,2023-05-22,CS RL LG TS 37,1000323060006205,1055000
14066740,2023-05-13,CS RL LG TS 37,1000323060023258,1055000
14109097,2023-05-26,CS RL LG TS 37,1000323060005390,791250
14117346,2023-05-30,CS RL LG TS 37,1000323060005110,1055000
13916448,2023-04-05,CS RL LG TS 37,1000323040052368,1055000
14003229,2023-04-26,CS RL LG TS 37,1000323060006141,1055000
13695770,2023-02-20,CS RL LG TS 37,1000323060032133,791250
13534702,2023-01-09,CS RL LG TS 37,1000323060008780,844000
13403639,2022-12-13,CS RL LG TS 37,1000323060040683,527500
11501853,2022-03-29,CS RL LG TS 37,1000323060019641,1055000
10743832,2021-12-20,CS RL LG TS 37,1000323060000690,527500
8066123,2020-11-05,CS RL LG TS 37,1000323060032150,527500
8004975,2020-10-14,CS RL LG TS 37,1000323060036503,949500
6807205,2020-01-01,CS RL LG TS 37,1000323060020569,1055000
5121026,2019-04-06,CS RL LG TS 37,1000323060020143,1055000
14147493,2023-06-09,CS RL LG TS 37,1000323060012086,1055000
14165641,2023-06-14,CS RL LG TS 37,1000323060018718,1055000
14181091,2023-06-19,CS RL LG TS 37,1000323060027423,1055000
14180307,2023-06-19,CS RL LG TS 37,1000323060026567,1055000
14195178,2023-06-24,CS RL LG TS 37,1000323060038298,1055000
