REPORT_DATE,PHONE_NUMBER,RECEIVED_DATE,SCORE_RANGE,TELCO_SOURCE,QUALIFIED_DATE,QUALIFIED,OLD_QUALIFIED,REASON,CHANGE_QUALIFIED_REASON,LEAD_ID,LOAN_AMOUNT,DISBURSED_DATE
2023-06-30,14184292,2023-06-20,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14184292,60000000,2023-06-28
2023-06-30,14185069,2023-06-20,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14185069,10000000,2023-06-23
2023-06-30,14185923,2023-06-21,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14185923,30000000,2023-06-28
2023-06-30,14189265,2023-06-22,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14189265,20000000,2023-06-23
2023-06-30,14191594,2023-06-22,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14191594,20000000,2023-06-27
2023-06-30,14193911,2023-06-23,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14193911,50000000,2023-06-30
2023-06-30,14199396,2023-06-25,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14199396,20000000,2023-06-27
2023-06-30,14200534,2023-06-26,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14200534,20000000,2023-06-28
2023-06-30,14204048,2023-06-27,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14204048,20000000,2023-06-29
2023-06-30,14204360,2023-06-27,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14204360,50000000,2023-06-29
2023-06-30,14207900,2023-06-28,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14207900,15000000,2023-06-30
2023-06-30,14052278,2023-05-09,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14052278,30000000,2023-06-09
2023-06-30,14060533,2023-05-11,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14060533,20000000,2023-06-14
2023-06-30,14061160,2023-05-12,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14061160,30000000,2023-06-05
2023-06-30,14083694,2023-05-18,[601-630],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14083694,20000000,2023-06-09
2023-06-30,14086894,2023-05-19,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14086894,15000000,2023-06-05
2023-06-30,14087013,2023-05-19,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14087013,60000000,2023-06-07
2023-06-30,14087053,2023-05-19,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14087053,20000000,2023-06-15
2023-06-30,14087594,2023-05-19,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14087594,60000000,2023-06-23
2023-06-30,14087757,2023-05-19,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14087757,50000000,2023-06-07
2023-06-30,14092400,2023-05-20,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14092400,40000000,2023-06-07
2023-06-30,14092744,2023-05-21,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14092744,20000000,2023-06-08
2023-06-30,14093568,2023-05-21,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14093568,20000000,2023-06-07
2023-06-30,14093981,2023-05-21,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14093981,30000000,2023-06-05
2023-06-30,14094509,2023-05-21,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14094509,52000000,2023-06-07
2023-06-30,14096434,2023-05-22,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14096434,20000000,2023-06-22
2023-06-30,14096895,2023-05-22,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14096895,30000000,2023-06-09
2023-06-30,14097501,2023-05-22,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14097501,20000000,2023-06-14
2023-06-30,14099931,2023-05-23,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14099931,20000000,2023-06-27
2023-06-30,14102696,2023-05-24,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14102696,20000000,2023-06-07
2023-06-30,14103082,2023-05-24,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14103082,20000000,2023-06-07
2023-06-30,14104733,2023-05-24,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14104733,20000000,2023-06-19
2023-06-30,14105878,2023-05-25,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14105878,30000000,2023-06-07
2023-06-30,14107409,2023-05-25,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14107409,50000000,2023-06-13
2023-06-30,14111760,2023-05-27,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14111760,30000000,2023-06-07
2023-06-30,14114790,2023-05-29,[631-649],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14114790,50000000,2023-06-05
2023-06-30,14115587,2023-05-29,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14115587,50000000,2023-06-07
2023-06-30,14117411,2023-05-30,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14117411,30000000,2023-06-08
2023-06-30,14117857,2023-05-30,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14117857,20000000,2023-06-13
2023-06-30,14118035,2023-05-30,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14118035,30000000,2023-06-07
2023-06-30,14120090,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14120090,20000000,2023-06-22
2023-06-30,14120185,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14120185,10000000,2023-06-13
2023-06-30,14120525,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14120525,60000000,2023-06-05
2023-06-30,14121264,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14121264,40000000,2023-06-13
2023-06-30,14121749,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14121749,20000000,2023-06-09
2023-06-30,14121792,2023-05-31,[650+],mobifone,2023-06-30,1,,Giải ngân thành công,unchanged,14121792,20000000,2023-06-23
